finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
C1_2_men_same,8,Chart 1.2,"Feel safe compared with five years ago: % about as safe, men",38,pct,,chart,N,,
X22,8,Chapter 1,"Gap (men minus women), % feel more safe than five years ago",2,pct,,text,N,,Page 4 gives this gap as 3 points; the data gives 4 (29% vs 26% rounded).
X23,8,Chapter 1,"Gap (women minus men), % feel less safe than five years ago",4,pct,,text,N,,
X24,8,Chapter 1,"Gap (women minus men), % top-of-mind risk crime/violence",2,pct,,text,N,,
X25,8,Chapter 1,"Gap (men minus women), % top-of-mind risk road-related accidents",5,pct,,text,N,,
T1_1_women_road,8,Table 1.1,"Top-of-mind risk: Transportation: road-related accidents, women",11,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_road,8,Table 1.1,"Top-of-mind risk: Transportation: road-related accidents, men",16,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_other_transport,8,Table 1.1,"Top-of-mind risk: Transportation: other, women",2,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_other_transport,8,Table 1.1,"Top-of-mind risk: Transportation: other, men",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_crime,8,Table 1.1,"Top-of-mind risk: Crime/violence, women",13,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_crime,8,Table 1.1,"Top-of-mind risk: Crime/violence, men",11,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_war,8,Table 1.1,"Top-of-mind risk: War/terrorism, women",2,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_war,8,Table 1.1,"Top-of-mind risk: War/terrorism, men",2,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_health,8,Table 1.1,"Top-of-mind risk: Health: personal health condition/illness, women",12,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_health,8,Table 1.1,"Top-of-mind risk: Health: personal health condition/illness, men",9,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_covid,8,Table 1.1,"Top-of-mind risk: Health: Covid-19 related, women",8,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_covid,8,Table 1.1,"Top-of-mind risk: Health: Covid-19 related, men",7,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_mental_stress,8,Table 1.1,"Top-of-mind risk: Health: mental stress/exhaustion, women",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_mental_stress,8,Table 1.1,"Top-of-mind risk: Health: mental stress/exhaustion, men",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_financial,8,Table 1.1,"Top-of-mind risk: Financial: not having enough money, women",6,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_financial,8,Table 1.1,"Top-of-mind risk: Financial: not having enough money, men",6,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_economy,8,Table 1.1,"Top-of-mind risk: Economy-related, women",4,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_economy,8,Table 1.1,"Top-of-mind risk: Economy-related, men",6,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_politics,8,Table 1.1,"Top-of-mind risk: Politics/political situation/corruption, women",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_politics,8,Table 1.1,"Top-of-mind risk: Politics/political situation/corruption, men",2,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_technology,8,Table 1.1,"Top-of-mind risk: Technology: internet/technology related, women",0,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_technology,8,Table 1.1,"Top-of-mind risk: Technology: internet/technology related, men",0,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_water,8,Table 1.1,"Top-of-mind risk: Water supply or drinking unclean water, women",0,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_water,8,Table 1.1,"Top-of-mind risk: Water supply or drinking unclean water, men",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_hunger,8,Table 1.1,"Top-of-mind risk: Food: insufficient or lack of food, women",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_hunger,8,Table 1.1,"Top-of-mind risk: Food: insufficient or lack of food, men",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_household,8,Table 1.1,"Top-of-mind risk: Cooking or other household accidents, women",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_household,8,Table 1.1,"Top-of-mind risk: Cooking or other household accidents, men",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_work,8,Table 1.1,"Top-of-mind risk: Work-related accidents, women",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_work,8,Table 1.1,"Top-of-mind risk: Work-related accidents, men",3,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_pollution,8,Table 1.1,"Top-of-mind risk: Environment: pollution, women",0,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_pollution,8,Table 1.1,"Top-of-mind risk: Environment: pollution, men",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_climate,8,Table 1.1,"Top-of-mind risk: Environment: climate change or severe weather, women",3,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_climate,8,Table 1.1,"Top-of-mind risk: Environment: climate change or severe weather, men",3,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_women_disasters,8,Table 1.1,"Top-of-mind risk: Environment: non-weather-related disasters, women",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
T1_1_men_disasters,8,Table 1.1,"Top-of-mind risk: Environment: non-weather-related disasters, men",1,pct,,table,N,,The table's 'percentage point difference' column is not recorded: it is derived from these values and its sign is inconsistent between rows.
C1_3_women_food_very,9,Chart 1.3,"Worry about the food you eat: % very worried, women",23,pct,,chart,N,,
C1_3_women_food_somewhat,9,Chart 1.3,"Worry about the food you eat: % somewhat worried, women",35,pct,,chart,N,,
C1_3_women_food_not,9,Chart 1.3,"Worry about the food you eat: % not worried, women",40,pct,,chart,N,,
C1_3_women_food_exp_no,9,Chart 1.3,"Experienced serious harm from the food you eat: % no experience of harm, women",80,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_food_exp_know,9,Chart 1.3,"Experienced serious harm from the food you eat: % yes, know someone, women",8,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_food_exp_personal,9,Chart 1.3,"Experienced serious harm from the food you eat: % yes, personally, women",8,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_food_very,9,Chart 1.3,"Worry about the food you eat: % very worried, men",20,pct,,chart,N,,
C1_3_men_food_somewhat,9,Chart 1.3,"Worry about the food you eat: % somewhat worried, men",33,pct,,chart,N,,
C1_3_men_food_not,9,Chart 1.3,"Worry about the food you eat: % not worried, men",46,pct,,chart,N,,
C1_3_men_food_exp_no,9,Chart 1.3,"Experienced serious harm from the food you eat: % no experience of harm, men",80,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_food_exp_know,9,Chart 1.3,"Experienced serious harm from the food you eat: % yes, know someone, men",9,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_food_exp_personal,9,Chart 1.3,"Experienced serious harm from the food you eat: % yes, personally, men",7,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_water_very,9,Chart 1.3,"Worry about drinking water: % very worried, women",20,pct,,chart,N,,
C1_3_women_water_somewhat,9,Chart 1.3,"Worry about drinking water: % somewhat worried, women",27,pct,,chart,N,,
C1_3_women_water_not,9,Chart 1.3,"Worry about drinking water: % not worried, women",52,pct,,chart,N,,
C1_3_women_water_exp_no,9,Chart 1.3,"Experienced serious harm from drinking water: % no experience of harm, women",85,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_water_exp_personal,9,Chart 1.3,"Experienced serious harm from drinking water: % yes, personally, women",7,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_water_very,9,Chart 1.3,"Worry about drinking water: % very worried, men",16,pct,,chart,N,,
C1_3_men_water_somewhat,9,Chart 1.3,"Worry about drinking water: % somewhat worried, men",25,pct,,chart,N,,
C1_3_men_water_not,9,Chart 1.3,"Worry about drinking water: % not worried, men",58,pct,,chart,N,,
C1_3_men_water_exp_no,9,Chart 1.3,"Experienced serious harm from drinking water: % no experience of harm, men",86,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_water_exp_personal,9,Chart 1.3,"Experienced serious harm from drinking water: % yes, personally, men",6,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_crime_very,9,Chart 1.3,"Worry about violent crime: % very worried, women",35,pct,,chart,N,,
C1_3_women_crime_somewhat,9,Chart 1.3,"Worry about violent crime: % somewhat worried, women",27,pct,,chart,N,,
C1_3_women_crime_not,9,Chart 1.3,"Worry about violent crime: % not worried, women",37,pct,,chart,N,,
C1_3_women_crime_exp_no,9,Chart 1.3,"Experienced serious harm from violent crime: % no experience of harm, women",80,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_crime_exp_know,9,Chart 1.3,"Experienced serious harm from violent crime: % yes, know someone, women",11,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_crime_very,9,Chart 1.3,"Worry about violent crime: % very worried, men",28,pct,,chart,N,,
C1_3_men_crime_somewhat,9,Chart 1.3,"Worry about violent crime: % somewhat worried, men",26,pct,,chart,N,,
C1_3_men_crime_not,9,Chart 1.3,"Worry about violent crime: % not worried, men",44,pct,,chart,N,,
C1_3_men_crime_exp_no,9,Chart 1.3,"Experienced serious harm from violent crime: % no experience of harm, men",79,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_crime_exp_know,9,Chart 1.3,"Experienced serious harm from violent crime: % yes, know someone, men",13,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_weather_very,9,Chart 1.3,"Worry about severe weather events: % very worried, women",38,pct,,chart,N,,
C1_3_women_weather_somewhat,9,Chart 1.3,"Worry about severe weather events: % somewhat worried, women",31,pct,,chart,N,,
C1_3_women_weather_not,9,Chart 1.3,"Worry about severe weather events: % not worried, women",30,pct,,chart,N,,
C1_3_women_weather_exp_no,9,Chart 1.3,"Experienced serious harm from severe weather events: % no experience of harm, women",72,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_weather_exp_know,9,Chart 1.3,"Experienced serious harm from severe weather events: % yes, know someone, women",12,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_weather_exp_personal,9,Chart 1.3,"Experienced serious harm from severe weather events: % yes, personally, women",11,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_weather_very,9,Chart 1.3,"Worry about severe weather events: % very worried, men",31,pct,,chart,N,,
C1_3_men_weather_somewhat,9,Chart 1.3,"Worry about severe weather events: % somewhat worried, men",31,pct,,chart,N,,
C1_3_men_weather_not,9,Chart 1.3,"Worry about severe weather events: % not worried, men",38,pct,,chart,N,,
C1_3_men_weather_exp_no,9,Chart 1.3,"Experienced serious harm from severe weather events: % no experience of harm, men",72,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_weather_exp_know,9,Chart 1.3,"Experienced serious harm from severe weather events: % yes, know someone, men",12,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_weather_exp_personal,9,Chart 1.3,"Experienced serious harm from severe weather events: % yes, personally, men",11,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_traffic_very,9,Chart 1.3,"Worry about traffic/roadside accidents: % very worried, women",40,pct,,chart,N,,
C1_3_women_traffic_somewhat,9,Chart 1.3,"Worry about traffic/roadside accidents: % somewhat worried, women",34,pct,,chart,N,,
C1_3_women_traffic_not,9,Chart 1.3,"Worry about traffic/roadside accidents: % not worried, women",26,pct,,chart,N,,
C1_3_women_traffic_exp_no,9,Chart 1.3,"Experienced serious harm from traffic/roadside accidents: % no experience of harm, women",69,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_traffic_exp_know,9,Chart 1.3,"Experienced serious harm from traffic/roadside accidents: % yes, know someone, women",19,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_traffic_exp_personal,9,Chart 1.3,"Experienced serious harm from traffic/roadside accidents: % yes, personally, women",8,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_traffic_very,9,Chart 1.3,"Worry about traffic/roadside accidents: % very worried, men",34,pct,,chart,N,,
C1_3_men_traffic_somewhat,9,Chart 1.3,"Worry about traffic/roadside accidents: % somewhat worried, men",36,pct,,chart,N,,
C1_3_men_traffic_not,9,Chart 1.3,"Worry about traffic/roadside accidents: % not worried, men",30,pct,,chart,N,,
C1_3_men_traffic_exp_no,9,Chart 1.3,"Experienced serious harm from traffic/roadside accidents: % no experience of harm, men",65,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_traffic_exp_know,9,Chart 1.3,"Experienced serious harm from traffic/roadside accidents: % yes, know someone, men",20,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_traffic_exp_personal,9,Chart 1.3,"Experienced serious harm from traffic/roadside accidents: % yes, personally, men",10,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_mental_very,9,Chart 1.3,"Worry about mental health: % very worried, women",28,pct,,chart,N,,
C1_3_women_mental_somewhat,9,Chart 1.3,"Worry about mental health: % somewhat worried, women",29,pct,,chart,N,,
C1_3_women_mental_not,9,Chart 1.3,"Worry about mental health: % not worried, women",42,pct,,chart,N,,
C1_3_women_mental_exp_no,9,Chart 1.3,"Experienced serious harm from mental health: % no experience of harm, women",73,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_mental_exp_know,9,Chart 1.3,"Experienced serious harm from mental health: % yes, know someone, women",14,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_mental_exp_personal,9,Chart 1.3,"Experienced serious harm from mental health: % yes, personally, women",9,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_mental_very,9,Chart 1.3,"Worry about mental health: % very worried, men",21,pct,,chart,N,,
C1_3_men_mental_somewhat,9,Chart 1.3,"Worry about mental health: % somewhat worried, men",27,pct,,chart,N,,
C1_3_men_mental_not,9,Chart 1.3,"Worry about mental health: % not worried, men",51,pct,,chart,N,,
C1_3_men_mental_exp_no,9,Chart 1.3,"Experienced serious harm from mental health: % no experience of harm, men",75,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_mental_exp_know,9,Chart 1.3,"Experienced serious harm from mental health: % yes, know someone, men",13,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_mental_exp_personal,9,Chart 1.3,"Experienced serious harm from mental health: % yes, personally, men",8,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_work_very,9,Chart 1.3,"Worry about the work you do: % very worried, women",18,pct,,chart,N,,
C1_3_women_work_somewhat,9,Chart 1.3,"Worry about the work you do: % somewhat worried, women",28,pct,,chart,N,,
C1_3_women_work_not,9,Chart 1.3,"Worry about the work you do: % not worried, women",53,pct,,chart,N,,
C1_3_women_work_exp_no,9,Chart 1.3,"Experienced serious harm from the work you do: % no experience of harm, women",77,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_work_exp_know,9,Chart 1.3,"Experienced serious harm from the work you do: % yes, know someone, women",9,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_women_work_exp_personal,9,Chart 1.3,"Experienced serious harm from the work you do: % yes, personally, women",9,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_work_very,9,Chart 1.3,"Worry about the work you do: % very worried, men",19,pct,,chart,N,,
C1_3_men_work_somewhat,9,Chart 1.3,"Worry about the work you do: % somewhat worried, men",30,pct,,chart,N,,
C1_3_men_work_not,9,Chart 1.3,"Worry about the work you do: % not worried, men",50,pct,,chart,N,,
C1_3_men_work_exp_no,9,Chart 1.3,"Experienced serious harm from the work you do: % no experience of harm, men",73,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_work_exp_know,9,Chart 1.3,"Experienced serious harm from the work you do: % yes, know someone, men",10,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
C1_3_men_work_exp_personal,9,Chart 1.3,"Experienced serious harm from the work you do: % yes, personally, men",12,pct,,chart,N,,"Segment labels are read by position; the extracted order is 'no', 'know someone', 'personally'."
X26_food,9,Chapter 1,"Gap (women minus men), % very worried about food",3,pct,,text,N,,
X26_water,9,Chapter 1,"Gap (women minus men), % very worried about water",4,pct,,text,N,,
X26_crime,9,Chapter 1,"Gap (women minus men), % very worried about violent crime",7,pct,,text,N,,
X26_weather,9,Chapter 1,"Gap (women minus men), % very worried about severe weather",7,pct,,text,N,,
X26_traffic,9,Chapter 1,"Gap (women minus men), % very worried about road accidents",6,pct,,text,N,,
X26_mental,9,Chapter 1,"Gap (women minus men), % very worried about mental health",7,pct,,text,N,,
X26_work,9,Chapter 1,"Gap (men minus women), % very worried about work",1,pct,,text,N,,
X27_traffic,9,Chapter 1,"Gap (men minus women), % personally experienced harm from a traffic or roadside accident",2,pct,,text,N,,
X27_work,9,Chapter 1,"Gap (men minus women), % personally experienced harm at work",3,pct,,text,N,,
C2_1_women,10,Chart 2.1,"World Risk Poll Resilience Index (0-1), women",0.53,mean,0.01,chart,N,,
C2_1_men,10,Chart 2.1,"World Risk Poll Resilience Index (0-1), men",0.57,mean,0.01,chart,N,,
C2_2_women_lt_week,11,Chart 2.2,"How long could cover basic needs if all income lost: % less than a week, women",13,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_weeks_1_2,11,Chart 2.2,"How long could cover basic needs if all income lost: % one to two weeks, women",13,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_weeks_2_4,11,Chart 2.2,"How long could cover basic needs if all income lost: % two to four weeks, women",9,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_around_month,11,Chart 2.2,"How long could cover basic needs if all income lost: % around a month, women",10,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_months_2,11,Chart 2.2,"How long could cover basic needs if all income lost: % two months, women",9,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_months_3,11,Chart 2.2,"How long could cover basic needs if all income lost: % three months, women",9,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_months_4plus,11,Chart 2.2,"How long could cover basic needs if all income lost: % four months or more, women",25,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_dk,11,Chart 2.2,"How long could cover basic needs if all income lost: % don't know/refused, women",8,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_women_month_or_less,11,Chart 2.2,"How long could cover basic needs if all income lost: % a month or less (chart annotation), women",46,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_lt_week,11,Chart 2.2,"How long could cover basic needs if all income lost: % less than a week, men",11,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_weeks_1_2,11,Chart 2.2,"How long could cover basic needs if all income lost: % one to two weeks, men",12,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_weeks_2_4,11,Chart 2.2,"How long could cover basic needs if all income lost: % two to four weeks, men",9,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_around_month,11,Chart 2.2,"How long could cover basic needs if all income lost: % around a month, men",10,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_months_2,11,Chart 2.2,"How long could cover basic needs if all income lost: % two months, men",11,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_months_3,11,Chart 2.2,"How long could cover basic needs if all income lost: % three months, men",9,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_months_4plus,11,Chart 2.2,"How long could cover basic needs if all income lost: % four months or more, men",29,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_dk,11,Chart 2.2,"How long could cover basic needs if all income lost: % don't know/refused, men",7,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_2_men_month_or_less,11,Chart 2.2,"How long could cover basic needs if all income lost: % a month or less (chart annotation), men",42,pct,,chart,N,,'A month or less' = less than a month plus around a month.
C2_3_women_yes,12,Chart 2.3,"Experienced a disaster in the past five years: % yes, women",26,pct,,chart,N,,
C2_3_women_no,12,Chart 2.3,"Experienced a disaster in the past five years: % no, women",73,pct,,chart,N,,
C2_3_men_yes,12,Chart 2.3,"Experienced a disaster in the past five years: % yes, men",28,pct,,chart,N,,
C2_3_men_no,12,Chart 2.3,"Experienced a disaster in the past five years: % no, men",71,pct,,chart,N,,
X28,12,Chapter 2,"Gap (men minus women), % experienced a disaster in the past five years",2,pct,,text,N,,
C2_4_women_national_yes,12,Chart 2.4,"Well prepared to deal with a disaster: national government, % yes, women",50,pct,,chart,N,,
C2_4_women_national_no,12,Chart 2.4,"Well prepared to deal with a disaster: national government, % no, women",39,pct,,chart,N,,
C2_4_women_local_yes,12,Chart 2.4,"Well prepared to deal with a disaster: local government, % yes, women",51,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
